date,label,high,low,average,volume,numberOfTrades,open,close,stock,momentum_roc,momentum_rsi,momentum_stoch,trend_aroon_ind,trend_macd,trend_macd_signal,trend_macd_diff
2020-08-19 14:56:00,2:56 PM,85.31,85.31,85.31,100,1,85.31,85.31,MRK,0.19969,58.57891,80.0,52.0,0.02614,0.01579,0.01036
2020-08-19 14:57:00,2:57 PM,85.31,85.31,85.31,100,1,85.31,85.31,MRK,0.12325,58.57891,80.0,52.0,0.02626,0.01788,0.00838
2020-08-19 14:58:00,2:58 PM,85.32,85.32,85.32,100,1,85.32,85.32,MRK,0.1056,61.30533,88.37209,52.0,0.02764,0.01983,0.00781
2020-08-19 14:59:00,2:59 PM,85.32,85.3,85.301,4745,8,85.3,85.3,MRK,0.00586,53.69322,60.60606,52.0,0.02522,0.02091,0.00431
2020-08-19 15:00:00,3 PM,85.305,85.275,85.291,432,4,85.28,85.275,MRK,-0.02344,55.19116,62.06897,52.0,0.02383,0.02149,0.00234
2020-08-19 15:01:00,3:01 PM,85.285,85.255,85.263,440,5,85.27,85.26,MRK,-0.07032,49.96893,15.0,48.0,0.02008,0.02121,-0.00113
2020-08-19 15:02:00,3:02 PM,,,,0,0,,,MRK,-0.07151,46.79032,8.69565,44.0,0.01532,0.02003,-0.00472
2020-08-19 15:03:00,3:03 PM,,,,0,0,,,MRK,0.01173,53.20209,50.0,40.0,0.0146,0.01895,-0.00435
2020-08-19 15:04:00,3:04 PM,,,,0,0,,,MRK,0.00821,56.05353,70.0,20.0,0.01547,0.01825,-0.00278
2020-08-19 15:05:00,3:05 PM,,,,0,0,,,MRK,0.0,56.05353,70.0,20.0,0.01597,0.01779,-0.00182
2020-08-19 15:06:00,3:06 PM,85.275,85.275,85.275,208,1,85.275,85.275,MRK,-0.05157,50.84381,41.0,20.0,0.01387,0.01701,-0.00314
2020-08-19 15:07:00,3:07 PM,,,,0,0,,,MRK,0.01172,55.31627,70.0,20.0,0.01438,0.01648,-0.0021
2020-08-19 15:08:00,3:08 PM,85.295,85.295,85.295,84,1,85.295,85.295,MRK,-0.01993,52.31157,53.0,20.0,0.01326,0.01584,-0.00258
2020-08-19 15:09:00,3:09 PM,85.305,85.295,85.301,168,3,85.295,85.305,MRK,-0.01172,53.43322,66.66667,16.0,0.01279,0.01523,-0.00244
2020-08-19 15:10:00,3:10 PM,85.3,85.3,85.3,100,1,85.3,85.3,MRK,-0.0293,54.26076,72.22222,12.0,0.01267,0.01472,-0.00204
2020-08-19 15:11:00,3:11 PM,,,,0,0,,,MRK,0.01759,54.26076,72.22222,-52.0,0.01244,0.01426,-0.00182
2020-08-19 15:12:00,3:12 PM,,,,0,0,,,MRK,-0.0469,45.77065,22.22222,-52.0,0.00852,0.01311,-0.00459
2020-08-19 15:13:00,3:13 PM,85.24,85.24,85.24,11,1,85.24,85.24,MRK,-0.03519,42.58167,0.0,-96.0,0.00376,0.01124,-0.00748
2020-08-19 15:14:00,3:14 PM,85.21,85.21,85.21,1,1,85.21,85.21,MRK,-0.01173,42.58167,18.18182,-60.0,-1e-05,0.00899,-0.009
2020-08-19 15:15:00,3:15 PM,85.21,85.21,85.21,100,1,85.21,85.21,MRK,-0.08208,39.39813,15.38462,-68.0,-0.00456,0.00628,-0.01084
2020-08-19 15:16:00,3:16 PM,85.175,85.175,85.175,100,1,85.175,85.175,MRK,-0.1524,33.93383,7.97546,-72.0,-0.01127,0.00277,-0.01404
